dataset_id,dataset_family,noise_model,seed,m,n,m_over_n,density,condition_proxy,column_norm_ratio,numerical_rank,full_column_rank,effective_kappa,method,final_be,pass_fail,iters_to_stable
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,sketch_pre_warm,2.1203700045926107e-12,0,
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,fossils,2.923301950169863e-17,1,
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,spir,1.887951767278068e-17,1,
illc1033,suitesparse,a_and_b,30003,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,298.6349751400475,qr_ref,1.3184294214157922e-16,1,0
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,sketch_solve,0.00018625984121065545,0,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,iter_sketch_mom,5.3605029334145075e-14,0,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,sketch_pre_cold,7.604436476449093e-10,0,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,sketch_pre_warm,2.263616756010555e-12,0,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,fossils,2.2191512715666574e-17,1,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,spir,1.4519516399899806e-17,1,
illc1033,suitesparse,a_and_b,40004,1033,320,3.228125,0.01427577444336883,18888.13321852914,1.000000000749437,320,1,293.3435446885541,qr_ref,1.7291235871121327e-16,1,0
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_solve,8.590471194382166e-07,0,
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,iter_sketch_mom,4.592815363357631e-19,1,21
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_pre_cold,6.652455755054953e-15,0,
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_pre_warm,1.1244765435560212e-15,0,
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,fossils,5.168350546517465e-16,0,
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,spir,7.233803674560809e-22,1,11
cpusmall,libsvm,b_only,32439,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,qr_ref,1.3383304393579642e-18,1,0
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_solve,1.1207497575601294e-06,0,
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,iter_sketch_mom,5.904139677565096e-19,1,21
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_pre_cold,7.541602402928711e-13,0,
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_pre_warm,3.039391087623145e-15,0,
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,fossils,1.239638894814759e-19,1,
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,spir,3.2505516770339377e-22,1,11
cpusmall,libsvm,b_only,10001,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,qr_ref,1.3383304393579642e-18,1,0
cpusmall,libsvm,b_only,20002,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_solve,9.196043528557554e-07,0,
cpusmall,libsvm,b_only,20002,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,iter_sketch_mom,7.854396110003236e-19,1,21
cpusmall,libsvm,b_only,20002,8192,12,682.6666666666666,0.9654032389322916,1089301.7758186134,447474.1255373537,12,1,1089301.7758186134,sketch_pre_cold,1.3474194758841156e-14,0,
